rowname	Symbol	Name	EntrezGene.ID	Ensembl.Gene.ID	MGI.ID	Gene.group.name
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	20	ENSG00000107331	MGI:99606	ATP binding cassette subfamily A
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	21	ENSG00000167972	MGI:1351617	ATP binding cassette subfamily A
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	24	ENSG00000198691	MGI:109424	ATP binding cassette subfamily A
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	23461	ENSG00000154265	MGI:2386607	ATP binding cassette subfamily A
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	23460	ENSG00000154262	MGI:1923434	ATP binding cassette subfamily A|MicroRNA protein coding host genes
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	10347	ENSG00000064687	MGI:1351646	ATP binding cassette subfamily A
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	10351	ENSG00000141338	"MGI:1351668, MGI:2386846"	ATP binding cassette subfamily A
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	10350	ENSG00000154258	MGI:2386796	ATP binding cassette subfamily A
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	NA	ENSG00000231749		Antisense RNAs
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	10349	ENSG00000154263		ATP binding cassette subfamily A
HGNC:31	ABCA11P	"ATP binding cassette subfamily A member 11, pseudogene"	79963	ENSG00000251595		ATP binding cassette subfamily A
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	26154	ENSG00000144452	MGI:2676312	ATP binding cassette subfamily A
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	154664	ENSG00000179869	MGI:2388707	ATP binding cassette subfamily A
HGNC:32972	ABCA17P	"ATP binding cassette subfamily A member 17, pseudogene"	650655	ENSG00000238098	MGI:3625331	ATP binding cassette subfamily A
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	5243	ENSG00000085563	MGI:97570	ATP binding cassette subfamily B|CD molecules
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	5244	ENSG00000005471	MGI:97569	ATP binding cassette subfamily B
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	340273	ENSG00000004846	MGI:1924956	ATP binding cassette subfamily B
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	ENSG00000115657	MGI:1921354	ATP binding cassette subfamily B|Blood group antigens
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	22	ENSG00000131269	MGI:109533	ATP binding cassette subfamily B
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	11194	ENSG00000197150	MGI:1351667	ATP binding cassette subfamily B
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	23457	ENSG00000150967	MGI:1861729	ATP binding cassette subfamily B
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	23456	ENSG00000135776	MGI:1860508	ATP binding cassette subfamily B
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	56476	ENSG00000274099		
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	728248	ENSG00000261524		
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	100132289	ENSG00000260053		
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	8647	ENSG00000073734	MGI:1351619	ATP binding cassette subfamily B
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	4363	ENSG00000103222	MGI:102676	ATP binding cassette subfamily C
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	1244	ENSG00000023839	MGI:1352447	ATP binding cassette subfamily C
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	8714	ENSG00000108846	MGI:1923658	ATP binding cassette subfamily C
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	10257	ENSG00000125257	MGI:2443111	ATP binding cassette subfamily C
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	10057	ENSG00000114770	MGI:1351644	ATP binding cassette subfamily C
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	NA	ENSG00000223882		Antisense RNAs
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	368	ENSG00000091262	MGI:1351634	ATP binding cassette subfamily C
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	653190	ENSG00000256340		Transcribed pseudogenes with published function
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	730013	ENSG00000255277		
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	6833	ENSG00000006071	MGI:1352629	ATP binding cassette subfamily C
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	10060	ENSG00000069431	MGI:1352630	ATP binding cassette subfamily C
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	89845	ENSG00000124574	MGI:2386976	ATP binding cassette subfamily C|MicroRNA protein coding host genes
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	85320	ENSG00000121270		ATP binding cassette subfamily C
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	94160	ENSG00000140798	MGI:2441679	ATP binding cassette subfamily C
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	ENSG00000243064		ATP binding cassette subfamily C
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	215	ENSG00000101986	MGI:1349215	ATP binding cassette subfamily D
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	23785			
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	26983	ENSG00000215151		
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	26982	ENSG00000261233		
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	26957	ENSG00000225293		
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	642762	ENSG00000214330		
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	225	ENSG00000173208	MGI:1349467	ATP binding cassette subfamily D
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	5825	ENSG00000117528	MGI:1349216	ATP binding cassette subfamily D|GOLD domain containing
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	5826	ENSG00000119688	MGI:1349217	ATP binding cassette subfamily D
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	6059	ENSG00000164163	MGI:1195458	ATP binding cassette subfamily E
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	23	ENSG00000204574	MGI:1351658	ATP binding cassette subfamily F|MicroRNA protein coding host genes
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	107986587			Divergent transcripts
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	10061	ENSG00000033050	MGI:1351657	ATP binding cassette subfamily F
HGNC:54751	ABCF2-H2BE1	ABCF2-H2BE1 readthrough	114483834	ENSG00000285292		
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653	ENSG00000242159		
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059	ENSG00000228769		
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	55324	ENSG00000161204	MGI:1351656	ATP binding cassette subfamily F
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	9619	ENSG00000160179	MGI:107704	ATP binding cassette subfamily G
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	ENSG00000118777	MGI:1347061	ATP binding cassette subfamily G|CD molecules|Blood group antigens
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	64137	ENSG00000172350	MGI:1890594	ATP binding cassette subfamily G
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	64240	ENSG00000138075	MGI:1351659	ATP binding cassette subfamily G
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	64241	ENSG00000143921	MGI:1914720	ATP binding cassette subfamily G
HGNC:17553	ABHD1	abhydrolase domain containing 1	84696	ENSG00000143994	MGI:1931013	Abhydrolase domain containing
HGNC:18717	ABHD2	"abhydrolase domain containing 2, acylglycerol lipase"	11057	ENSG00000140526	MGI:1914344	Abhydrolase domain containing
HGNC:18718	ABHD3	"abhydrolase domain containing 3, phospholipase"	171586	ENSG00000158201	MGI:2147183	Abhydrolase domain containing
HGNC:20154	ABHD4	"abhydrolase domain containing 4, N-acyl phospholipase B"	63874	ENSG00000100439	MGI:1915938	Abhydrolase domain containing
HGNC:21396	ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	51099	ENSG00000011198	MGI:1914719	Abhydrolase domain containing
HGNC:21398	ABHD6	"abhydrolase domain containing 6, acylglycerol lipase"	57406	ENSG00000163686	MGI:1913332	Abhydrolase domain containing
HGNC:23759	ABHD8	abhydrolase domain containing 8	79575	ENSG00000127220	MGI:1918946	Abhydrolase domain containing
HGNC:25656	ABHD10	"abhydrolase domain containing 10, depalmitoylase"	55347	ENSG00000144827	MGI:2442422	Abhydrolase domain containing
HGNC:16407	ABHD11	abhydrolase domain containing 11	83451	ENSG00000106077	MGI:1916008	Abhydrolase domain containing
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022	ENSG00000225969		Antisense RNAs
HGNC:15868	ABHD12	"abhydrolase domain containing 12, lysophospholipase"	26090	ENSG00000100997	MGI:1923442	Abhydrolase domain containing
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	145447	ENSG00000131969	MGI:2685650	Abhydrolase domain containing
HGNC:20293	ABHD13	abhydrolase domain containing 13	84945	ENSG00000139826	MGI:1916154	Abhydrolase domain containing
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	25864	ENSG00000248487	MGI:1915894	Abhydrolase domain containing
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760	ENSG00000114786		
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	84836	ENSG00000114779	MGI:1923741	Abhydrolase domain containing
HGNC:26971	ABHD15	abhydrolase domain containing 15	116236	ENSG00000168792	MGI:1914727	Abhydrolase domain containing
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	NA	ENSG00000264031		Antisense RNAs
HGNC:13921	ABHD16A	"abhydrolase domain containing 16A, phospholipase"	7920	ENSG00000204427	MGI:99476	MicroRNA protein coding host genes|Abhydrolase domain containing
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	140701	ENSG00000183260	MGI:3607711	Abhydrolase domain containing
HGNC:28756	ABHD17A	"abhydrolase domain containing 17A, depalmitoylase"	81926	ENSG00000129968	MGI:106388	Depalmitoylases|Abhydrolase domain containing
HGNC:28394	ABHD17AP1	ABHD17A pseudogene 1	728917	ENSG00000198658		
HGNC:34041	ABHD17AP3	ABHD17A pseudogene 3	648359	ENSG00000250536		
HGNC:34042	ABHD17AP4	ABHD17A pseudogene 4	729495	ENSG00000229107		
HGNC:34043	ABHD17AP5	ABHD17A pseudogene 5	91219	ENSG00000263366		
HGNC:34044	ABHD17AP6	ABHD17A pseudogene 6	644988	ENSG00000226981		
HGNC:38508	ABHD17AP7	ABHD17A pseudogene 7	100133212	ENSG00000260864		
HGNC:38509	ABHD17AP8	ABHD17A pseudogene 8	647144	ENSG00000260540		
HGNC:38510	ABHD17AP9	ABHD17A pseudogene 9	100132251	ENSG00000261536		
HGNC:24278	ABHD17B	"abhydrolase domain containing 17B, depalmitoylase"	51104	ENSG00000107362	MGI:1917816	Abhydrolase domain containing|Depalmitoylases
HGNC:26925	ABHD17C	"abhydrolase domain containing 17C, depalmitoylase"	58489	ENSG00000136379	MGI:1917428	Abhydrolase domain containing|Depalmitoylases
HGNC:26111	ABHD18	abhydrolase domain containing 18	80167	ENSG00000164074	MGI:1915468	Abhydrolase domain containing
HGNC:11320	ABI1	abl interactor 1	10006	ENSG00000136754	MGI:104913	
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	326268	ENSG00000271484		
HGNC:24011	ABI2	abl interactor 2	10152	ENSG00000138443	MGI:106913	SCAR/WAVE complex
HGNC:29859	ABI3	ABI family member 3	51225	ENSG00000108798	MGI:1913860	
HGNC:17265	ABI3BP	ABI family member 3 binding protein	25890	ENSG00000154175	MGI:2444583	Fibronectin type III domain containing
HGNC:1364	ABITRAM	actin binding transcription modulator	54942	ENSG00000119328	MGI:2677850	
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1	390403	ENSG00000251106		
HGNC:76	ABL1	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	25	ENSG00000097007	MGI:87859	SH2 domain containing|Abl family tyrosine kinases
HGNC:77	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	27	ENSG00000143322	MGI:87860	Abl family tyrosine kinases|SH2 domain containing
HGNC:78	ABLIM1	actin binding LIM protein 1	3983	ENSG00000099204	MGI:1194500	LIM domain containing
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	84448	ENSG00000163995	MGI:2385758	LIM domain containing|MicroRNA protein coding host genes
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	22885	ENSG00000173210	MGI:2442582	LIM domain containing
HGNC:79	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	28	ENSG00000175164	MGI:2135738	Blood group antigens|Glycosyltransferase family 6
HGNC:81	ABR	ABR activator of RhoGEF and GTPase	29	ENSG00000159842	MGI:107771	Dbl family Rho GEFs|MicroRNA protein coding host genes|C2 domain containing|Pleckstrin homology domain containing
HGNC:30655	ABRA	actin binding Rho activating protein	137735	ENSG00000174429	MGI:2444891	
HGNC:21230	ABRACL	ABRA C-terminal like	58527	ENSG00000146386	MGI:1920362	
HGNC:25829	ABRAXAS1	"abraxas 1, BRCA1 A complex subunit"	84142	ENSG00000163322	MGI:1917931	BRCA1 A complex
HGNC:28975	ABRAXAS2	"abraxas 2, BRISC complex subunit"	23172	ENSG00000165660	MGI:1926116	BRISC complex
HGNC:17369	ABT1	activator of basal transcription 1	29777	ENSG00000146109	MGI:1353636	
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	100420695	ENSG00000250496		
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	80325	ENSG00000114626	MGI:1933148	BTB domain containing|Ankyrin repeat domain containing
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	25841	ENSG00000166016	MGI:2139365	BTB domain containing|Ankyrin repeat domain containing
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	30	ENSG00000060971	"MGI:2148491, MGI:3605455"	
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	10449	ENSG00000167315	MGI:1098623	
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	31	ENSG00000278540	MGI:108451	
HGNC:85	ACACB	acetyl-CoA carboxylase beta	32	ENSG00000076555	MGI:2140940	
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	27034	ENSG00000151498	MGI:1914198	Acyl-CoA dehydrogenase family
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	28976	ENSG00000177646	MGI:1914272	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	80724	ENSG00000111271	MGI:1919235	Acyl-CoA dehydrogenase family
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	84129	ENSG00000240303	MGI:2143169	Acyl-CoA dehydrogenase family
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	33	ENSG00000115361	MGI:87866	Acyl-CoA dehydrogenase family
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	34	ENSG00000117054	MGI:87867	Acyl-CoA dehydrogenase family
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	35	ENSG00000122971	MGI:87868	Acyl-CoA dehydrogenase family
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	ENSG00000196177	MGI:1914135	Acyl-CoA dehydrogenase family
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	37	ENSG00000072778	MGI:895149	Acyl-CoA dehydrogenase family
HGNC:319	ACAN	aggrecan	176	ENSG00000157766	MGI:99602	Sushi domain containing|C-type lectin domain containing|V-set domain containing|Hyalectan proteoglycans
HGNC:16467	ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	9744	ENSG00000072818	MGI:2388270	BAR-PH domain containing|ArfGAPs|Ankyrin repeat domain containing
HGNC:16469	ACAP2	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	23527	ENSG00000114331	MGI:1925868	BAR-PH domain containing|Ankyrin repeat domain containing|ArfGAPs
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	NA	ENSG00000229325		Intronic transcripts
HGNC:16754	ACAP3	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	116983	ENSG00000131584	MGI:2153589	Ankyrin repeat domain containing|BAR-PH domain containing|MicroRNA protein coding host genes|ArfGAPs
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	38	ENSG00000075239	MGI:87870	
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	39	ENSG00000120437	"MGI:87871, MGI:109182"	
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	64746	ENSG00000182827	MGI:2181074	A-kinase anchoring proteins
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	107985353	ENSG00000234478		Antisense RNAs
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	79777	ENSG00000181513	MGI:1914381	
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	91452	ENSG00000107897	MGI:1921409	
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	84320	ENSG00000230124	MGI:1919732	MicroRNA protein coding host genes|Ankyrin repeat domain containing
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	414149	ENSG00000176244	MGI:1925495	
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	ENSG00000110455	MGI:1919717	
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	ENSG00000205126	MGI:3584519	
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	65057	ENSG00000102977	MGI:87873	Shelterin complex
HGNC:2707	ACE	angiotensin I converting enzyme	1636	ENSG00000159640	MGI:87874	CD molecules
HGNC:13557	ACE2	angiotensin I converting enzyme 2	59272	ENSG00000130234	MGI:1917258	
HGNC:44365	ACE3P	"angiotensin I converting enzyme 3, pseudogene"	100129123	ENSG00000224353	MGI:3644400	
HGNC:18356	ACER1	alkaline ceramidase 1	125981	ENSG00000167769	MGI:2181962	Alkaline ceramidases
HGNC:23675	ACER2	alkaline ceramidase 2	340485	ENSG00000177076	MGI:1920932	Alkaline ceramidases
HGNC:54674	ACER2P1	ACER2 pseudogene 1	645978	ENSG00000180105		
HGNC:16066	ACER3	alkaline ceramidase 3	55331	ENSG00000078124	MGI:1913440	Alkaline ceramidases
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	43	ENSG00000087085	MGI:87876	Blood group antigens
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	22985	ENSG00000100813	MGI:1891824	ASAP complex
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	ENSG00000213088	MGI:1097689	Blood group antigens|CD molecules|Atypical chemokine receptors
HGNC:1565	ACKR2	atypical chemokine receptor 2	1238	ENSG00000144648	MGI:1891697	Atypical chemokine receptors
HGNC:23692	ACKR3	atypical chemokine receptor 3	57007	ENSG00000144476	MGI:109562	Atypical chemokine receptors
HGNC:1611	ACKR4	atypical chemokine receptor 4	51554	ENSG00000129048	MGI:2181676	Atypical chemokine receptors
HGNC:21142	ACKR4P1	ACKR4 pseudogene 1	285737	ENSG00000225415		
HGNC:115	ACLY	ATP citrate lyase	47	ENSG00000131473	MGI:103251	
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	ENSG00000153086	MGI:2386323	MicroRNA protein coding host genes
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	347275	ENSG00000227411		
HGNC:117	ACO1	aconitase 1	48	ENSG00000122729	MGI:87879	
HGNC:118	ACO2	aconitase 2	50	ENSG00000100412	MGI:87880	
HGNC:33904	ACOD1	aconitate decarboxylase 1	730249	ENSG00000102794	MGI:103206	
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	641371	ENSG00000184227	MGI:1349396	Acyl-CoA thioesterases
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	10965	ENSG00000119673	MGI:2159605	Acyl-CoA thioesterases
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	122970	ENSG00000177465	MGI:2159621	Acyl-CoA thioesterases
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	641372	ENSG00000205669	MGI:1921287	Acyl-CoA thioesterases
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	11332	ENSG00000097021	MGI:1917275	Acyl-CoA thioesterases
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	10005	ENSG00000101473	MGI:2158201	Acyl-CoA thioesterases
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	23597	ENSG00000123130	MGI:1928939	Acyl-CoA thioesterases
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	26027	ENSG00000162390	MGI:1913736	Acyl-CoA thioesterases|StAR related lipid transfer domain containing
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	134526	ENSG00000172497	MGI:1921406	Acyl-CoA thioesterases|StAR related lipid transfer domain containing
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	55856	ENSG00000112304	MGI:1914084	Acyl-CoA thioesterases
HGNC:119	ACOX1	acyl-CoA oxidase 1	51	ENSG00000161533	MGI:1330812	
HGNC:120	ACOX2	acyl-CoA oxidase 2	8309	ENSG00000168306	MGI:1934852	
HGNC:121	ACOX3	"acyl-CoA oxidase 3, pristanoyl"	8310	ENSG00000087008	MGI:1933156	
HGNC:25621	ACOXL	acyl-CoA oxidase like	55289	ENSG00000153093	MGI:1921371	
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	400997	ENSG00000204581		Antisense RNAs
HGNC:122	ACP1	acid phosphatase 1	52	ENSG00000143727	MGI:87881	Acid phosphatases|Class II Cys-based phosphatases
HGNC:123	ACP2	"acid phosphatase 2, lysosomal"	53	ENSG00000134575	MGI:87882	Acid phosphatases
HGNC:125	ACP3	acid phosphatase 3	55	ENSG00000014257	MGI:1928480	Acid phosphatases
HGNC:14376	ACP4	acid phosphatase 4	93650	ENSG00000142513	MGI:3644563	Acid phosphatases
